Name,Code,"Changes (-1 means terminus, 2 means 2+ changes, NaN means error or no connections possible)"
Burnham (Bucks),BNM,2.0
Burnham-on-Crouch,BUU,2.0
Burnley Barracks,BUB,2.0
Burnley Central,BNC,2.0
Burnley Manchester Road,BYM,1.0
Burnside (Strathclyde),BUI,1.0
Burntisland,BTS,1.0
Burscough Bridge,BCB,1.0
Burscough Junction,BCJ,2.0
Bursledon,BUO,1.0
Burton Joyce,BUJ,1.0
Burton-on-Trent,BUT,0.0
Bury St Edmunds,BSE,1.0
Busby,BUS,1.0
Bush Hill Park,BHK,2.0
Bushey,BSH,2.0
Butlers Lane,BUL,1.0
Buxted,BXD,2.0
Buxton,BUX,1.0
Byfleet & New Haw,BFN,2.0
Bynea,BYE,2.0
Cadoxton,CAD,2.0
Caergwrle,CGW,2.0
Caerphilly,CPH,2.0
Caersws,CWS,1.0
Caldercruix,CAC,1.0
Caldicot,CDT,1.0
Caledonian Rd & Barnsbury,CIR,2.0
Calstock,CSK,1.0
Cam & Dursley,CDU,1.0
Camberley,CAM,2.0
Camborne,CBN,0.0
Cambridge,CBG,1.0
Cambridge Heath,CBH,2.0
Cambuslang,CBL,1.0
Camden Road,CMD,2.0
Camelon,CMO,1.0
Canada Water,ZCW,2.0
Canley,CNL,1.0
Cannock,CAO,1.0
Canonbury,CNN,2.0
Canterbury East,CBE,2.0
Canterbury West,CBW,1.0
Cantley,CNY,1.0
Capenhurst,CPU,1.0
Carbis Bay,CBB,1.0
Cardenden,CDD,1.0
Cardiff Bay,CDB,2.0
Cardiff Central,CDF,1.0
Cardiff Queen Street,CDQ,2.0
Cardonald,CDO,1.0
Cardross,CDR,1.0
Carfin,CRF,1.0
Cark & Cartmel,CAK,1.0
Carlisle,CAR,1.0
Carlton,CTO,1.0
Carluke,CLU,1.0
Carmarthen,CMN,1.0
Carmyle,CML,1.0
Carnforth,CNF,1.0
Carnoustie,CAN,1.0
Carntyne,CAY,1.0
Carpenders Park,CPK,2.0
Carrbridge,CAG,1.0
Carshalton,CSH,1.0
Carshalton Beeches,CSB,2.0
Carstairs,CRS,1.0
Cartsdyke,CDY,1.0
Castle Bar Park,CBP,2.0
Castle Cary,CLC,1.0
Castleford,CFD,0.0
Castleton (Manchester),CAS,1.0
Castleton Moor,CSM,2.0
Caterham,CAT,2.0
Catford,CTF,1.0
Catford Bridge,CFB,2.0
Cathays,CYS,2.0
Cathcart,CCT,1.0
Cattal,CTL,1.0
Causeland,CAU,1.0
Cefn-y-Bedd,CYB,2.0
Chadwell Heath,CTH,2.0
Chafford Hundred Lakeside,CFH,2.0
Chalfont & Latimer,CFO,2.0
Chalkwell,CHW,2.0
Chandlers Ford,CFR,2.0
Chapel-en-le-Frith,CEF,1.0
Chapelton (Devon),CPN,1.0
Chapeltown (South Yorks),CLN,0.0
Chappel & Wakes Colne,CWC,2.0
Charing (Kent),CHG,2.0
Charing Cross (Glasgow),CHC,1.0
Charlbury,CBY,1.0
Charlton,CTN,1.0
Chartham,CRT,1.0
Chassen Road,CSR,1.0
Chatelherault,CTE,2.0
Chatham,CTM,1.0
Chathill,CHT,1.0
Cheadle Hulme,CHU,1.0
Cheam,CHE,2.0
Cheddington,CED,1.0
Chelford (Cheshire),CEL,1.0
Chelmsford,CHM,2.0
Chelsfield,CLD,2.0
Cheltenham Spa,CNM,0.0
Chepstow,CPW,1.0
Cherry Tree,CYT,2.0
Chertsey,CHY,2.0
Cheshunt,CHN,2.0
Chessington North,CSN,2.0
Chessington South,CSS,2.0
Chester,CTR,1.0
Chester Road,CRD,1.0
Chesterfield,CHD,0.0
Chester-le-Street,CLS,0.0
Chestfield & Swalecliffe,CSW,1.0
Chetnole,CNO,1.0
Chichester,CCH,2.0
Chilham,CIL,1.0
Chilworth,CHL,1.0
Chingford,CHI,2.0
Chinley,CLY,0.0
Chippenham,CPM,1.0
Chipstead,CHP,2.0
Chirk,CRK,2.0
Chislehurst,CIT,2.0
Chiswick,CHK,2.0
Cholsey,CHO,2.0
Chorley,CRL,1.0
Chorleywood,CLW,2.0
Christchurch,CHR,1.0
Christs Hospital,CHH,2.0
Church & Oswaldtwistle,CTW,2.0
Church Fenton,CHF,0.0
Church Stretton,CTT,1.0
Cilmeri,CIM,2.0
City Thameslink,CTK,1.0
Clacton-on-Sea,CLT,2.0
Clandon,CLA,1.0
Clapham (North Yorkshire),CPY,1.0
Clapham High Street,CLP,2.0
Clapham Junction,CLJ,2.0
Clapton,CPT,2.0
Clarbeston Road,CLR,1.0
Clarkston,CKS,1.0
Claverdon,CLV,1.0
Claygate,CLG,1.0
Cleethorpes,CLE,0.0
Cleland,CEA,1.0
Clifton (Manchester),CLI,2.0
Clifton Down,CFN,1.0
Clitheroe,CLH,2.0
Clock House,CLK,2.0
Clunderwen,CUW,1.0
Clydebank,CYK,1.0
Coatbridge Central,CBC,1.0
Coatbridge Sunnyside,CBS,1.0
Coatdyke,COA,1.0
Cobham & Stoke d'Abernon,CSD,1.0
Codsall,CSL,1.0
Cogan,CGN,2.0
Colchester,COL,1.0
Colchester Town,CET,2.0
Coleshill Parkway,CEH,1.0
Collingham,CLM,1.0
Collington,CLL,2.0
Colne,CNE,2.0
Colwall,CWL,1.0
Colwyn Bay,CWB,1.0
Combe (Oxon),CME,1.0
Commondale,COM,2.0
Congleton,CNG,1.0
Conisbrough,CNS,0.0
Connel Ferry,CON,2.0
Conon Bridge,CBD,2.0
Cononley,CEY,1.0
Conway Park,CNP,1.0
Conwy,CNW,1.0
Cooden Beach,COB,2.0
Cookham,COO,2.0
Cooksbridge,CBR,2.0
Coombe Junction Halt,COE,2.0
Copplestone,COP,1.0
Corbridge,CRB,1.0
Corby,COR,1.0
