Name,Code,"Changes (-1 means terminus, 2 means 2+ changes, NaN means error or no connections possible)"
Coleshill Parkway,CEH,1.0
Collingham,CLM,2.0
Collington,CLL,2.0
Colne,CNE,0.0
Colwall,CWL,1.0
Colwyn Bay,CWB,1.0
Combe (Oxon),CME,2.0
Commondale,COM,2.0
Congleton,CNG,1.0
Conisbrough,CNS,2.0
Connel Ferry,CON,2.0
Conon Bridge,CBD,2.0
Cononley,CEY,1.0
Conway Park,CNP,1.0
Conwy,CNW,1.0
Cooden Beach,COB,2.0
Cookham,COO,2.0
Cooksbridge,CBR,2.0
Coombe Junction Halt,COE,2.0
Copplestone,COP,2.0
Corbridge,CRB,1.0
Corby,COR,2.0
Corkerhill,CKH,1.0
Corkickle,CKL,0.0
Corpach,CPA,2.0
Corrour,CRR,2.0
Coryton,COY,2.0
Coseley,CSY,1.0
Cosford,COS,1.0
Cosham,CSA,2.0
Cottingham,CGM,2.0
Cottingley,COT,1.0
Coulsdon South,CDS,2.0
Coulsdon Town,CDN,2.0
Coventry,COV,0.0
Coventry Arena,CAA,1.0
Cowden (Kent),CWN,2.0
Cowdenbeath,COW,1.0
Cradley Heath,CRA,2.0
Craigendoran,CGD,1.0
Cramlington,CRM,1.0
Cranbrook (Devon),CBK,2.0
Craven Arms,CRV,1.0
Crawley,CRW,2.0
Crayford,CRY,2.0
Crediton,CDI,2.0
Cressing (Essex),CES,2.0
Cressington,CSG,1.0
Creswell,CWD,2.0
Crewe,CRE,0.0
Crewkerne,CKN,2.0
Crews Hill,CWH,2.0
Crianlarich,CNR,2.0
Criccieth,CCC,1.0
Cricklewood,CRI,2.0
Croftfoot,CFF,1.0
Crofton Park,CFT,2.0
Cromer,CMR,2.0
Cromford,CMF,2.0
Crookston,CKT,1.0
Cross Gates,CRG,0.0
Crossflatts,CFL,1.0
Crosshill,COI,1.0
Crosskeys,CKY,2.0
Crossmyloof,CMY,1.0
Croston,CSO,0.0
Crouch Hill,CRH,2.0
Crowborough,COH,2.0
Crowhurst,CWU,2.0
Crowle,CWE,1.0
Crowthorne,CRN,2.0
Croy,CRO,1.0
Crystal Palace,CYP,2.0
Cuddington,CUD,1.0
Cuffley,CUF,2.0
Culham,CUM,2.0
Culrain,CUA,2.0
Cumbernauld,CUB,1.0
Cupar,CUP,1.0
Curriehill,CUH,1.0
Cuxton,CUX,2.0
Cwmbach,CMH,2.0
Cwmbran,CWM,1.0
Cynghordy,CYN,1.0
Dagenham Dock,DDK,2.0
Daisy Hill,DSY,1.0
Dalgety Bay,DAG,1.0
Dalmally,DAL,2.0
Dalmarnock,DAK,1.0
Dalmeny,DAM,1.0
Dalmuir,DMR,1.0
Dalreoch,DLR,1.0
Dalry,DLY,1.0
Dalston (Cumbria),DLS,0.0
Dalston Junction,DLJ,2.0
Dalston Kingsland,DLK,2.0
Dalton (Cumbria),DLT,0.0
Dalwhinnie,DLW,1.0
Danby,DNY,2.0
Danescourt,DCT,2.0
Danzey,DZY,2.0
Darlington,DAR,1.0
Darnall,DAN,1.0
Darsham,DSM,2.0
Dartford,DFD,2.0
Darton,DRT,1.0
Darwen,DWN,1.0
Datchet,DAT,2.0
Davenport,DVN,1.0
Dawlish,DWL,1.0
Dawlish Warren,DWW,2.0
Deal,DEA,2.0
Dean (Wilts),DEN,2.0
Deansgate,DGT,0.0
Deganwy,DGY,1.0
Deighton,DHN,2.0
Delamere,DLM,1.0
Denby Dale,DBD,2.0
Denham,DNM,2.0
Denham Golf Club,DGC,2.0
Denmark Hill,DMK,2.0
Dent,DNT,1.0
Denton,DTN,2.0
Deptford,DEP,2.0
Derby,DBY,1.0
Derby Road (Ipswich),DBR,2.0
Devonport (Devon),DPT,2.0
Devonport Dockyard,DOC,2.0
Dewsbury,DEW,1.0
Didcot Parkway,DID,2.0
Digby & Sowton,DIG,2.0
Dilton Marsh,DMH,2.0
Dinas (Rhondda),DMG,2.0
Dinas Powys,DNS,2.0
Dingle Road,DGL,2.0
Dingwall,DIN,2.0
Dinsdale,DND,2.0
Dinting,DTG,1.0
Disley,DSL,1.0
Diss,DIS,2.0
Dodworth,DOD,2.0
Dolau,DOL,1.0
Doleham,DLH,2.0
Dolgarrog,DLG,2.0
Dolwyddelan,DWD,2.0
Doncaster,DON,1.0
Dorchester South,DCH,2.0
Dorchester West,DCW,2.0
Dore & Totley,DOR,1.0
Dorking (Main),DKG,2.0
Dorking Deepdene,DPD,2.0
Dorking West,DKT,2.0
Dormans,DMS,2.0
Dorridge,DDG,2.0
Dove Holes,DVH,1.0
Dover Priory,DVP,2.0
Dovercourt,DVC,2.0
Dovey Junction,DVY,1.0
Downham Market,DOW,2.0
Drayton Green,DRG,2.0
Drayton Park,DYP,2.0
Drem,DRM,1.0
Driffield,DRF,2.0
Drigg,DRI,0.0
Droitwich Spa,DTW,1.0
Dronfield,DRO,1.0
Drumchapel,DMC,1.0
Drumfrochar,DFR,1.0
Drumgelloch,DRU,1.0
Drumry,DMY,1.0
Dublin Ferryport,DFP,2.0
Dublin Port - Stena,DPS,2.0
Duddeston,DUD,1.0
Dudley Port,DDP,1.0
Duffield,DFI,2.0
Duirinish,DRN,2.0
Duke Street,DST,2.0
Dullingham,DUL,2.0
Dumbarton Central,DBC,1.0
Dumbarton East,DBE,1.0
Dumbreck,DUM,1.0
Dumfries,DMF,1.0
Dumpton Park,DMP,2.0
Dunbar,DUN,1.0
