Name,Code,"Changes (-1 means terminus, NaN means 2+ changes)"
Criccieth,CCC,1.0
Cricklewood,CRI,nan
Croftfoot,CFF,1.0
Crofton Park,CFT,nan
Cromer,CMR,1.0
Cromford,CMF,nan
Crookston,CKT,1.0
Cross Gates,CRG,0.0
Crossflatts,CFL,1.0
Crosshill,COI,1.0
Crosskeys,CKY,1.0
Crossmyloof,CMY,1.0
Croston,CSO,1.0
Crouch Hill,CRH,nan
Crowborough,COH,nan
Crowhurst,CWU,nan
Crowle,CWE,0.0
Crowthorne,CRN,1.0
Croy,CRO,1.0
Crystal Palace,CYP,nan
Cuddington,CUD,0.0
Cuffley,CUF,nan
Culham,CUM,1.0
Culrain,CUA,nan
Cumbernauld,CUB,1.0
Cupar,CUP,1.0
Curriehill,CUH,1.0
Cuxton,CUX,nan
Cwmbach,CMH,1.0
Cwmbran,CWM,0.0
Cynghordy,CYN,1.0
Dagenham Dock,DDK,nan
Daisy Hill,DSY,0.0
Dalgety Bay,DAG,1.0
Dalmally,DAL,nan
Dalmarnock,DAK,1.0
Dalmeny,DAM,1.0
Dalmuir,DMR,1.0
Dalreoch,DLR,1.0
Dalry,DLY,1.0
Dalston (Cumbria),DLS,1.0
Dalston Junction,DLJ,nan
Dalston Kingsland,DLK,nan
Dalton (Cumbria),DLT,0.0
Dalwhinnie,DLW,nan
Danby,DNY,1.0
Danescourt,DCT,1.0
Danzey,DZY,nan
Darlington,DAR,0.0
Darnall,DAN,1.0
Darsham,DSM,nan
Dartford,DFD,nan
Darton,DRT,1.0
Darwen,DWN,0.0
Datchet,DAT,nan
Davenport,DVN,0.0
Dawlish,DWL,0.0
Dawlish Warren,DWW,1.0
Deal,DEA,nan
Dean (Wilts),DEN,1.0
Deansgate,DGT,-1.0
Deganwy,DGY,0.0
Deighton,DHN,1.0
Delamere,DLM,0.0
Denby Dale,DBD,1.0
Denham,DNM,1.0
Denham Golf Club,DGC,nan
Denmark Hill,DMK,nan
Dent,DNT,1.0
Denton,DTN,nan
Deptford,DEP,nan
Derby,DBY,1.0
Derby Road (Ipswich),DBR,nan
Devonport (Devon),DPT,nan
Devonport Dockyard,DOC,nan
Dewsbury,DEW,0.0
Didcot Parkway,DID,1.0
Digby & Sowton,DIG,1.0
Dilton Marsh,DMH,1.0
Dinas (Rhondda),DMG,1.0
Dinas Powys,DNS,1.0
Dingle Road,DGL,1.0
Dingwall,DIN,nan
Dinsdale,DND,1.0
Dinting,DTG,0.0
Disley,DSL,0.0
Diss,DIS,nan
Dodworth,DOD,1.0
Dolau,DOL,1.0
Doleham,DLH,nan
Dolgarrog,DLG,1.0
Dolwyddelan,DWD,1.0
Doncaster,DON,0.0
Dorchester South,DCH,1.0
Dorchester West,DCW,nan
Dore & Totley,DOR,0.0
Dorking (Main),DKG,nan
Dorking Deepdene,DPD,1.0
Dorking West,DKT,1.0
Dormans,DMS,nan
Dorridge,DDG,nan
Dove Holes,DVH,0.0
Dover Priory,DVP,nan
Dovercourt,DVC,nan
Dovey Junction,DVY,1.0
Downham Market,DOW,1.0
Drayton Green,DRG,nan
Drayton Park,DYP,nan
Drem,DRM,1.0
Driffield,DRF,1.0
Drigg,DRI,1.0
Droitwich Spa,DTW,1.0
Dronfield,DRO,0.0
Drumchapel,DMC,1.0
Drumfrochar,DFR,1.0
Drumgelloch,DRU,1.0
Drumry,DMY,1.0
Dublin Ferryport,DFP,1.0
Dublin Port - Stena,DPS,1.0
Duddeston,DUD,1.0
Dudley Port,DDP,1.0
Duffield,DFI,nan
Duirinish,DRN,nan
Duke Street,DST,nan
Dullingham,DUL,nan
Dumbarton Central,DBC,1.0
Dumbarton East,DBE,1.0
Dumbreck,DUM,1.0
Dumfries,DMF,1.0
Dumpton Park,DMP,nan
Dunbar,DUN,1.0
Dunblane,DBL,1.0
Duncraig,DCG,nan
Dundee,DEE,1.0
Dunfermline Queen Margaret,DFL,1.0
Dunfermline Town,DFE,1.0
Dunkeld & Birnam,DKD,1.0
Dunlop,DNL,1.0
Dunrobin Castle,DNO,nan
Dunston,DOT,1.0
Dunton Green,DNG,nan
Durham,DHM,0.0
Durrington-on-Sea,DUR,nan
Dyce,DYC,nan
Dyffryn Ardudwy,DYF,1.0
Eaglescliffe,EAG,1.0
Ealing Broadway,EAL,1.0
Earlestown,ERL,0.0
Earley,EAR,1.0
Earlsfield,EAD,nan
Earlswood (Surrey),ELD,nan
Earlswood (West Midlands),EWD,nan
East Croydon,ECR,1.0
East Didsbury,EDY,0.0
East Dulwich,EDW,nan
East Farleigh,EFL,nan
East Garforth,EGF,1.0
East Grinstead,EGR,nan
East Kilbride,EKL,1.0
East Malling,EML,nan
East Midlands Parkway,EMD,1.0
East Tilbury,ETL,nan
East Worthing,EWR,nan
Eastbourne,EBN,nan
Eastbrook,EBK,1.0
Easterhouse,EST,1.0
Eastham Rake,ERA,1.0
Eastleigh,ESL,1.0
Eastrington,EGN,1.0
Ebbsfleet International,EBD,nan
Ebbw Vale Parkway,EBV,1.0
Ebbw Vale Town,EBB,1.0
Eccles (Manchester),ECC,0.0
Eccles Road,ECS,0.0
Eccleston Park,ECL,1.0
Edale,EDL,0.0
Eden Park,EDN,nan
Edenbridge,EBR,nan
Edenbridge Town,EBT,nan
Edge Hill,EDG,0.0
Edinburgh,EDB,0.0
Edinburgh Gateway,EGY,1.0
Edinburgh Park,EDP,1.0
Edmonton Green,EDR,nan
Effingham Junction,EFF,nan
Eggesford,EGG,1.0
Egham,EGH,1.0
Egton,EGT,1.0
Elephant & Castle,EPH,1.0
Elephant & Castle (Underground),ZEL,nan
Elgin,ELG,nan
Ellesmere Port,ELP,0.0
Elmers End,ELE,nan
Elmstead Woods,ESD,nan
Elmswell,ESW,nan
Elsecar,ELR,1.0
Elsenham (Essex),ESM,nan
Elstree & Borehamwood,ELS,nan
Eltham,ELW,nan
Elton & Orston,ELO,1.0
Ely,ELY,0.0
Emerson Park,EMP,nan
Emsworth,EMS,1.0
Energlyn & Churchill Park,ECP,1.0
Enfield Chase,ENC,nan
Enfield Lock,ENL,nan
Enfield Town,ENF,nan
Entwistle,ENT,0.0
Epsom (Surrey),EPS,nan
Epsom Downs,EPD,nan
Erdington,ERD,1.0
Eridge,ERI,nan
Erith,ERH,nan
Esher,ESH,nan
Eskbank,EKB,1.0
Essex Road,EXR,nan
Etchingham,ETC,nan
Euxton Balshaw Lane,EBA,1.0
Evesham,EVE,nan
Ewell East,EWE,nan
Ewell West,EWW,nan
Exeter Central,EXC,1.0
Exeter St David's,EXD,0.0
Exeter St Thomas,EXT,1.0
Exhibition Centre (Glasgow),EXG,1.0
Exmouth,EXM,1.0
Exton,EXN,1.0
Eynsford,EYN,nan
Fairbourne,FRB,1.0
Fairfield,FRF,0.0
Fairlie,FRL,1.0
Fairwater,FRW,1.0
Falconwood,FCN,nan
Falkirk Grahamston,FKG,1.0
Falkirk High,FKK,1.0
Falls of Cruachan,FOC,nan
Falmer,FMR,nan
Falmouth Docks,FAL,nan
Falmouth Town,FMT,nan
Fareham,FRM,1.0
Farnborough (Main),FNB,1.0
Farnborough North,FNN,1.0
Farncombe,FNC,nan
Farnham,FNH,nan
Farningham Road,FNR,nan
Farnworth,FNW,0.0
Farringdon,ZFD,nan
Fauldhouse,FLD,1.0
Faversham,FAV,nan
Faygate,FGT,nan
Fazakerley,FAZ,nan
Fearn,FRN,nan
Featherstone,FEA,1.0
Felixstowe,FLX,nan
Feltham,FEL,nan
Feniton,FNT,1.0
Fenny Stratford,FEN,nan
Fernhill,FER,1.0
Ferriby,FRY,1.0
Ferryside,FYS,0.0
Ffairfach,FFA,1.0
Filey,FIL,1.0
Filton Abbey Wood,FIT,0.0
Finchley Road & Frognal,FNY,nan
Finsbury Park,FPK,1.0
Finstock,FIN,1.0
Fishbourne (Sussex),FSB,nan
Fishersgate,FSG,nan
Fishguard & Goodwick,FGW,0.0
Fishguard Harbour,FGH,0.0
Fiskerton,FSK,1.0
Fitzwilliam,FZW,1.0
Five Ways,FWY,1.0
Fleet,FLE,1.0
Flimby,FLM,1.0
Flint,FLN,0.0
Flitwick,FLT,nan
Flixton,FLI,0.0
Flowery Field,FLF,0.0
Folkestone Central,FKC,nan
Folkestone West,FKW,nan
Ford,FOD,nan
Forest Gate,FOG,nan
Forest Hill,FOH,nan
Formby,FBY,1.0
Forres,FOR,nan
Forsinard,FRS,nan
Fort Matilda,FTM,1.0
Fort William,FTW,nan
Four Oaks,FOK,1.0
Foxfield,FOX,1.0
Foxton,FXN,nan
Frant,FRT,nan
Fratton,FTN,1.0
Freshfield,FRE,1.0
Freshford,FFD,1.0
Frimley,FML,nan
Frinton-on-Sea,FRI,nan
Frizinghall,FZH,1.0
Frodsham,FRD,0.0
Frome,FRO,1.0
Fulwell,FLW,nan
Furness Vale,FNV,0.0
Furze Platt,FZP,nan
Gainsborough Central,GNB,nan
Gainsborough Lea Road,GBL,1.0
Galashiels,GAL,1.0
Garelochhead,GCH,nan
Garforth,GRF,0.0
Gargrave,GGV,1.0
Garrowhill,GAR,1.0
Garscadden,GRS,1.0
Garsdale,GSD,1.0
Garston (Hertfordshire),GSN,nan
Garswood,GSW,1.0
Gartcosh,GRH,1.0
Garth (Mid Glamorgan),GMG,1.0
Garth (Powys),GTH,1.0
Garve,GVE,nan
Gathurst,GST,0.0
Gatley,GTY,0.0
Gatwick Airport,GTW,nan
Georgemas Junction,GGJ,nan
Gerrards Cross,GER,1.0
Gidea Park,GDP,nan
Giffnock,GFN,1.0
Giggleswick,GIG,1.0
Gilberdyke,GBD,0.0
Gilfach Fargoed,GFF,1.0
Gillingham (Dorset),GIL,1.0
Gillingham (Kent),GLM,nan
Gilshochill,GSC,nan
Gipsy Hill,GIP,nan
Girvan,GIR,nan
Glaisdale,GLS,1.0
Glan Conwy,GCW,1.0
Glasgow Central,GLC,0.0
Glasgow Queen Street,GLQ,1.0
