stop_id,stop_name,routes
LHS,Limehouse,13
LIN,Linlithgow,8
LIP,Liphook,11
LIS,Liss,11
LIT,Littlehampton,8
LIV,"Liverpool Lime Street",2
LLE,Llanelli,2
LLJ,"Llandudno Junction",3
LMR,"Low Moor",2
LMS,"Leamington Spa",13
LNG,Longcross,3
LNY,"Langley (Berks)",7
LOC,Lockerbie,15
LOF,"London Fields",4
LOS,Lostwithiel,4
LOW,Lowdham,2
LPG,Llanfairpwll,2
LPW,Lapworth,5
LPY,"Liverpool South Parkway",2
LRD,"London Road (Guildford)",4
LSK,Liskeard,4
LSY,"Lower Sydenham",6
LTK,"Little Kimble",8
LTN,"Luton Airport Parkway",54
LTP,Littleport,4
LTV,"Lichfield Trent Valley",34
LUT,Luton,60
LVN,Littlehaven,21
LWS,Lewes,15
LYD,Lydney,2
LYE,"Lye (West Midlands)",1
MAC,Macclesfield,2
MAI,Maidenhead,65
MAL,"Malden Manor",2
MAN,"Manchester Piccadilly",2
MAO,"Martins Heron",2
MAR,Margate,21
MBK,"Millbrook (Hants)",1
MCH,March,19
MDE,"Maidstone East",15
MDG,Midgham,3
MDS,"Morden South",9
MDW,"Maidstone West",2
MEL,Meldreth,7
MEN,Menheniot,1
MEP,Meopham,20
MEX,Mexborough,3
MFL,"Mount Florida",2
MGN,"Marston Green",4
MHM,Merstham,35
MHR,"Market Harborough",17
MHS,Meadowhall,4
MIC,Micheldever,17
MIJ,"Mitcham Junction",24
MIK,Micklefield,1
MIL,"Mill Hill Broadway",39
MIM,"Moreton-in-Marsh",12
MIR,Mirfield,3
MIS,Mistley,2
MKC,"Milton Keynes Central",52
MKT,"Marks Tey",20
MLF,"Milford (Surrey)",13
MMO,"Melton Mowbray",13
MNG,Manningtree,12
MNP,"Manor Park",10
MOT,"Motspur Park",13
MPT,Morpeth,21
MRN,Marden,23
MRP,Moorthorpe,2
MRS,"Monks Risborough",2
MSR,Minster,11
MTC,"Mitcham Eastfields",24
MTG,Mottingham,24
MTH,Motherwell,6
MTL,Mortlake,19
MTM,"Martin Mill",15
MTN,"Moreton (Dorset)",2
MTS,Montrose,5
MVL,"Malvern Link",4
MYL,Maryland,23
MZH,"Maze Hill",51
NBA,"New Barnet",8
NBC,"New Beckenham",11
NBT,Norbiton,16
NBY,Newbury,33
NCL,Newcastle,25
NCT,"Newark Castle",2
NDL,"North Dulwich",23
NEH,"New Eltham",24
NEM,"New Malden",86
NFA,"North Fambridge",2
NFL,Northfleet,34
NGT,Newington,34
NHD,Nunhead,47
NLS,"Nailsea & Backwell",8
NLT,"Northolt Park",15
NMP,Northampton,26
NNG,"Newark North Gate",55
NNP,"Ninian Park",3
NOT,Nottingham,7
NRB,Norbury,29
NRC,"Newbury Racecourse",4
NRN,Nairn,1
NRW,Norwich,2
NSB,"Normans Bay",4
NSG,"New Southgate",7
NSH,"North Sheen",19
NTA,"Newton Abbot",10
NTB,"NORTON BRIDGE",30
NTH,Neath,4
NTL,Netley,1
NTN,"Newton (S Lanarks)",6
NTR,Northallerton,29
NUM,"Northumberland Park",6
NUN,Nuneaton,34
NUT,Nutbourne,5
NVH,"Newhaven Harbour",2
NVN,"Newhaven Town",2
NWB,"North Wembley",2
NWD,"Norwood Junction",88
NWE,"Newport (Essex)",6
NWM,"New Milton",6
NWP,"Newport (S Wales)",10
NWR,Newtonmore,3
NWX,"New Cross",107
NXG,"New Cross Gate",90
OCK,Ockendon,10
OHL,"Old Hill",1
OKL,"Oakleigh Park",7
OKM,Oakham,13
OLF,"Oldfield Park",1
OLT,Olton,1
OLY,Ockley,2
ORE,Ore,7
ORP,Orpington,62
OTF,Otford,19
OVR,Overton,16
OXF,Oxford,16
OXN,"Oxenholme Lake District",15
OXP,"Oxford Parkway",2
OXS,Oxshott,6
OXT,Oxted,15
PAL,"Palmers Green",13
PAN,Pangbourne,4
PAR,Par,4
PBO,Peterborough,63
PBR,"Potters Bar",104
PBY,"Pembrey & Burry Port",2
PDW,"Paddock Wood",24
PET,"Petts Wood",62
PEV,"Pevensey & Westham",7
PEW,Pewsey,17
PFL,Purfleet,12
PFM,"Pontefract Monkhill",3
PFY,"Poulton-le-Fylde",2
PGN,Paignton,2
PIL,Pilning,10
PIN,Pinhoe,6
PIT,Pitlochry,4
PKG,Penkridge,11
PKS,"Parkstone (Dorset)",4
PLC,Pluckley,22
PLD,Portslade,14
PLG,Polegate,11
PLU,Plumstead,56
PLY,Plymouth,6
PMH,"Portsmouth Harbour",6
PMP,Plumpton,13
PMR,"Peckham Rye",47
PMS,"Portsmouth & Southsea",10
PMT,Polmont,8
PMW,Penmaenmawr,3
PNE,"Penge East",10
PNR,"Penrith North Lakes",15
PNW,"Penge West",13
PNZ,Penzance,2
POK,Pokesdown,6
PON,"Ponders End",8
POO,Poole,4
PRE,Preston,21
PRL,Prittlewell,2
PRP,"Preston Park",31
PRR,"Princes Risborough",23
PRT,Prestatyn,3
PSE,Pitsea,11
PSH,Pershore,8
PSN,"Parson Street",7
PST,Prestonpans,20
PTA,"Port Talbot Parkway",4
PTC,Portchester,7
PTH,Perth,7
PTR,Petersfield,17
PUL,Pulborough,24
