Name,Code,"Changes (-1 means terminus, NaN means 2+ changes)"
Bromborough Rake,BMR,1.0
Bromley Cross (Lancs),BMC,1.0
Bromley North,BMN,nan
Bromley South,BMS,nan
Bromsgrove,BMV,1.0
Brondesbury,BSY,nan
Brondesbury Park,BSP,nan
Brookmans Park,BPK,nan
Brookwood,BKO,nan
Broome,BME,nan
Broomfleet,BMF,1.0
Brora,BRA,nan
Brough,BUH,0.0
Broughty Ferry,BYF,1.0
Broxbourne,BXB,nan
Bruce Grove,BCV,nan
Brundall,BDA,nan
Brundall Gardens,BGA,nan
Brunstane,BSU,1.0
Brunswick,BRW,nan
Bruton,BRU,1.0
Bryn,BYN,1.0
Buckenham (Norfolk),BUC,nan
Buckley,BCK,nan
Bucknell,BUK,nan
Buckshaw Parkway,BSV,1.0
Bugle,BGL,nan
Builth Road,BHR,nan
Bulwell,BLW,1.0
Bures,BUE,nan
Burgess Hill,BUG,nan
Burley Park,BUY,0.0
Burley-in-Wharfedale,BUW,0.0
Burnage,BNA,1.0
Burneside (Cumbria),BUD,nan
Burnham (Bucks),BNM,nan
Burnham-on-Crouch,BUU,nan
Burnley Barracks,BUB,nan
Burnley Central,BNC,1.0
Burnley Manchester Road,BYM,0.0
Burnside (Strathclyde),BUI,nan
Burntisland,BTS,1.0
Burscough Bridge,BCB,0.0
Burscough Junction,BCJ,1.0
Bursledon,BUO,nan
Burton Joyce,BUJ,1.0
Burton-on-Trent,BUT,0.0
Bury St Edmunds,BSE,1.0
Busby,BUS,1.0
Bush Hill Park,BHK,nan
Bushey,BSH,nan
Butlers Lane,BUL,1.0
Buxted,BXD,nan
Buxton,BUX,1.0
Byfleet & New Haw,BFN,nan
Bynea,BYE,nan
Cadoxton,CAD,nan
Caergwrle,CGW,nan
Caerphilly,CPH,nan
Caersws,CWS,1.0
Caldercruix,CAC,nan
Caldicot,CDT,1.0
Caledonian Rd & Barnsbury,CIR,nan
Calstock,CSK,1.0
Cam & Dursley,CDU,1.0
Camberley,CAM,nan
Camborne,CBN,1.0
Cambridge,CBG,1.0
Cambridge Heath,CBH,nan
Cambuslang,CBL,nan
Camden Road,CMD,nan
Camelon,CMO,1.0
Canada Water,ZCW,nan
Canley,CNL,1.0
Cannock,CAO,1.0
Canonbury,CNN,nan
Canterbury East,CBE,nan
Canterbury West,CBW,nan
Cantley,CNY,nan
Capenhurst,CPU,1.0
Carbis Bay,CBB,nan
Cardenden,CDD,1.0
Cardiff Bay,CDB,nan
Cardiff Central,CDF,1.0
Cardiff Queen Street,CDQ,nan
Cardonald,CDO,nan
Cardross,CDR,nan
Carfin,CRF,1.0
Cark & Cartmel,CAK,1.0
Carlisle,CAR,0.0
Carlton,CTO,1.0
Carluke,CLU,1.0
Carmarthen,CMN,1.0
