Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Arrochar & Tarbet,ART,2.0,415.0,93.3,VIRGIN WEST COAST,ANYTIME S,317.0
Arundel,ARU,2.0,213.0,220.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ascot (Berks),ACT,1.0,138.0,198.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ascott-under-Wychwood,AUW,1.0,126.0,75.65,CROSSCOUNTRY,ANYTIME S,0.0
Ash,ASH,1.0,154.0,115.4,VIRGIN WEST COAST,ANYTIME S,200.0
Ash Vale,AHV,2.0,164.0,115.4,VIRGIN WEST COAST,ANYTIME S,200.0
Ashburys,ABY,1.0,109.0,15.0,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Ashchurch for Tewkesbury,ASC,0.0,40.0,71.45,CROSSCOUNTRY,ANYTIME S,0.0
Ashfield,ASF,2.0,287.0,76.3,VIRGIN WEST COAST,ANYTIME S,317.0
Ashford (Surrey),AFS,1.0,157.0,105.8,VIRGIN WEST COAST,ANYTIME S,200.0
Ashford International,AFK,2.0,168.0,213.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ashford International (Eurostar),ASI,nan,nan,nan,N/A,no route found,-998.0
Ashley,ASY,1.0,128.0,15.2,EAST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Ashtead,AHD,1.0,469.0,194.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ashton-under-Lyne,AHN,2.0,145.0,20.4,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Ashurst (Kent),AHS,2.0,214.0,196.5,VIRGIN WEST COAST,ANYTIME S,200.0
Ashurst New Forest,ANF,1.0,188.0,128.8,CROSSCOUNTRY,ANYTIME S,700.0
Ashwell & Morden,AWM,1.0,191.0,115.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Askam,ASK,1.0,242.0,33.4,NORTHERN,ANYTIME DAY S,317.0
Aslockton,ALK,1.0,113.0,69.0,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Aspatria,ASP,1.0,222.0,55.4,NORTHERN,ANYTIME DAY S,0.0
Aspley Guise,APG,1.0,143.0,114.5,VIRGIN WEST COAST,ANYTIME S,0.0
Aston,AST,0.0,9.0,39.8,WEST MIDLANDS TRAINS,ANYTIME S,287.0
Atherstone,ATH,1.0,50.0,51.0,VIRGIN WEST COAST,ANYTIME S,0.0
Atherton,ATN,2.0,121.0,8.7,NORTHERN,ANYTIME DAY S,0.0
Attadale,ATT,2.0,735.0,205.5,VIRGIN WEST COAST,ANYTIME S,0.0
Attenborough,ATB,0.0,78.0,55.8,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Attleborough,ATL,1.0,213.0,97.1,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Auchinleck,AUK,1.0,298.0,71.2,VIRGIN WEST COAST,ANYTIME S,93.0
Audley End,AUD,0.0,180.0,188.5,VIRGIN WEST COAST,ANYTIME S,0.0
Aughton Park,AUG,1.0,161.0,6.05,MERSEYRAIL,ANYTIME DAY S,1000.0
Aviemore,AVM,1.0,460.0,159.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Avoncliff,AVF,1.0,147.0,98.8,CROSSCOUNTRY,ANYTIME S,700.0
Avonmouth,AVN,1.0,129.0,92.8,CROSSCOUNTRY,ANYTIME S,0.0
Axminster,AXM,1.0,281.0,150.8,CROSSCOUNTRY,ANYTIME S,700.0
Aylesbury,AYS,1.0,158.0,64.4,CROSSCOUNTRY,ANYTIME S,267.0
Aylesbury Vale Parkway,AVP,1.0,204.0,64.4,CROSSCOUNTRY,ANYTIME S,267.0
Aylesford,AYL,3.0,203.0,205.5,VIRGIN WEST COAST,ANYTIME S,0.0
Aylesham,AYH,2.0,240.0,220.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ayr,AYR,1.0,315.0,71.2,VIRGIN WEST COAST,ANYTIME S,93.0
Bache,BAC,1.0,86.0,7.5,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,0.0
Baglan,BAJ,1.0,221.0,84.0,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Bagshot,BAG,2.0,175.0,115.4,VIRGIN WEST COAST,ANYTIME S,200.0
Baildon,BLD,2.0,198.0,41.7,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Baillieston,BIO,1.0,297.0,132.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Balcombe,BAB,2.0,193.0,205.5,VIRGIN WEST COAST,ANYTIME S,0.0
