Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Bache,BAC,2.0,241.0,93.0,VIRGIN WEST COAST,ANYTIME S,275.0
Baglan,BAJ,1.0,407.0,205.8,CROSSCOUNTRY,ANYTIME S,0.0
Bagshot,BAG,2.0,387.0,170.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Baildon,BLD,2.0,242.0,117.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Baillieston,BIO,1.0,124.0,16.4,SCOTRAIL,ANYTIME DAY S,0.0
Balcombe,BAB,2.0,378.0,170.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Baldock,BDK,1.0,315.0,152.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Balham,BAL,2.0,337.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Balloch,BHC,1.0,122.0,18.2,SCOTRAIL,ANYTIME DAY S,0.0
Balmossie,BSI,1.0,119.0,20.3,SCOTRAIL,ANYTIME DAY S,0.0
Bamber Bridge,BMB,1.0,208.0,127.5,VIRGIN WEST COAST,ANYTIME S,0.0
Bamford,BAM,1.0,263.0,142.45,CROSSCOUNTRY,ANYTIME S,0.0
Banavie,BNV,1.0,322.0,53.7,SCOTRAIL,ANYTIME DAY S,0.0
Banbury,BAN,0.0,400.0,166.2,CROSSCOUNTRY,ANYTIME S,0.0
Bangor (Gwynedd),BNG,1.0,358.0,119.0,VIRGIN WEST COAST,ANYTIME S,275.0
Bank Hall,BAH,3.0,264.0,127.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Banstead,BAD,2.0,388.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Barassie,BSS,0.0,123.0,19.7,SCOTRAIL,ANYTIME DAY S,0.0
Barbican,ZBB,1.0,300.0,164.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Bardon Mill,BLL,1.0,162.0,68.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Bare Lane,BAR,1.0,151.0,68.4,TRANSPENNINE EXPRESS,ANYTIME S,0.0
Bargeddie,BGI,1.0,128.0,16.4,SCOTRAIL,ANYTIME DAY S,0.0
Bargoed,BGD,2.0,474.0,205.8,CROSSCOUNTRY,ANYTIME S,700.0
Barking,BKG,2.0,328.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Barlaston,BRT,3.0,329.0,97.0,VIRGIN WEST COAST,ANYTIME S,275.0
Barming,BMG,2.0,397.0,170.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Barmouth,BRM,1.0,448.0,151.0,VIRGIN WEST COAST,ANYTIME S,287.0
Barnehurst,BNH,2.0,355.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Barnes,BNS,2.0,344.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Barnes Bridge,BNI,2.0,354.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Barnetby,BTB,1.0,262.0,134.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Barnham,BAA,2.0,394.0,176.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Barnhill,BNL,1.0,81.0,15.5,SCOTRAIL,ANYTIME DAY S,0.0
Barnsley,BNY,1.0,237.0,120.55,CROSSCOUNTRY,ANYTIME S,0.0
Barnstaple,BNP,1.0,592.0,242.05,CROSSCOUNTRY,ANYTIME S,700.0
Barnt Green,BTG,1.0,300.0,151.3,CROSSCOUNTRY,ANYTIME S,0.0
Barrhead,BRR,1.0,120.0,17.3,SCOTRAIL,ANYTIME DAY S,0.0
Barrhill,BRL,1.0,202.0,25.8,SCOTRAIL,ANYTIME DAY S,0.0
Barrow Haven,BAV,2.0,381.0,134.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Barrow-in-Furness,BIF,1.0,227.0,71.0,VIRGIN WEST COAST,ANYTIME S,307.0
Barrow-Upon-Soar,BWS,2.0,365.0,170.8,CROSSCOUNTRY,ANYTIME S,0.0
Barry,BRY,2.0,442.0,202.9,CROSSCOUNTRY,ANYTIME S,700.0
Barry Docks,BYD,2.0,439.0,202.9,CROSSCOUNTRY,ANYTIME S,700.0
Barry Island,BYI,2.0,462.0,202.9,CROSSCOUNTRY,ANYTIME S,700.0
Barry Links,BYL,1.0,126.0,21.9,SCOTRAIL,ANYTIME DAY S,0.0
Barton-on-Humber,BAU,2.0,383.0,134.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Basildon,BSO,2.0,375.0,164.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Basingstoke,BSK,2.0,402.0,172.5,CROSSCOUNTRY,ANYTIME S,0.0
Bat & Ball,BBL,2.0,405.0,166.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Bath Spa,BTH,2.0,417.0,202.9,CROSSCOUNTRY,ANYTIME S,700.0
Bathgate,BHG,0.0,31.0,5.6,SCOTRAIL,ANYTIME DAY S,1000.0
Batley,BTL,1.0,239.0,116.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Battersby,BTT,1.0,239.0,77.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Battersea Park,BAK,2.0,335.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Battle,BAT,2.0,423.0,174.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Battlesbridge,BLB,2.0,361.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Bayford,BAY,1.0,311.0,164.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Beaconsfield,BCF,2.0,364.0,164.0,CROSSCOUNTRY,ANYTIME S,0.0
Bearley,BER,3.0,388.0,160.8,CROSSCOUNTRY,ANYTIME S,0.0
Bearsden,BRN,1.0,119.0,17.3,SCOTRAIL,ANYTIME DAY S,0.0
Bearsted,BSD,2.0,383.0,172.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Beasdale,BSL,1.0,375.0,68.0,SCOTRAIL,ANYTIME DAY S,0.0
Beaulieu Road,BEU,1.0,599.0,181.0,CROSSCOUNTRY,ANYTIME S,0.0
Beauly,BEL,1.0,260.0,85.0,SCOTRAIL,ANYTIME DAY S,0.0
Bebington,BEB,2.0,275.0,77.5,VIRGIN WEST COAST,ANYTIME S,317.0
Beccles,BCC,2.0,468.0,181.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Beckenham Hill,BEC,2.0,350.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Beckenham Junction,BKJ,2.0,345.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Bedford,BDM,1.0,657.0,174.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Bedford St Johns,BSJ,3.0,395.0,174.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Bedhampton,BDH,2.0,453.0,176.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Bedminster,BMT,1.0,476.0,202.9,CROSSCOUNTRY,ANYTIME S,700.0
Bedworth,BEH,1.0,297.0,150.8,CROSSCOUNTRY,ANYTIME S,0.0
Bedwyn,BDW,1.0,518.0,172.5,CROSSCOUNTRY,ANYTIME S,0.0
Beeston,BEE,1.0,556.0,150.8,CROSSCOUNTRY,ANYTIME S,0.0
Bekesbourne,BKS,2.0,442.0,176.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Belle Vue,BLV,1.0,220.0,76.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,95.0
Bellgrove,BLG,0.0,69.0,15.5,SCOTRAIL,ANYTIME DAY S,0.0
Bellingham,BGM,2.0,348.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Bellshill,BLH,0.0,129.0,16.8,SCOTRAIL,ANYTIME DAY S,0.0
Belmont,BLM,2.0,385.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Belper,BLP,1.0,334.0,125.3,CROSSCOUNTRY,ANYTIME S,0.0
Beltring,BEG,3.0,366.0,170.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Belvedere,BVD,3.0,368.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Bempton,BEM,1.0,346.0,124.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ben Rhydding,BEY,1.0,240.0,117.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Benfleet,BEF,2.0,382.0,164.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Bentham,BEN,1.0,239.0,68.4,TRANSPENNINE EXPRESS,ANYTIME S,0.0
Bentley (Hants),BTY,2.0,387.0,172.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
