Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Aldrington,AGT,3.0,272.0,213.5,VIRGIN WEST COAST,ANYTIME S,0.0
Alexandra Palace,AAP,2.0,187.0,167.0,VIRGIN WEST COAST,ANYTIME S,0.0
Alexandra Parade,AXP,3.0,253.0,132.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alexandria,ALX,3.0,300.0,78.9,VIRGIN WEST COAST,ANYTIME S,317.0
Alfreton,ALF,0.0,147.0,45.3,EAST MIDLANDS TRAINS,ANYTIME S,312.0
Allens West,ALW,1.0,186.0,64.4,TRANSPENNINE EXPRESS,ANYTIME DAY S,95.0
Alloa,ALO,2.0,280.0,133.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alness,ASS,2.0,546.0,187.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alnmouth,ALM,1.0,240.0,88.3,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Alresford (Essex),ALR,2.0,259.0,88.2,VIRGIN WEST COAST,ANYTIME S,200.0
Alsager,ASG,1.0,64.0,15.1,WEST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Althorne (Essex),ALN,2.0,233.0,205.5,VIRGIN WEST COAST,ANYTIME S,0.0
Althorpe,ALP,2.0,189.0,45.0,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Altnabreac,ABC,3.0,679.0,205.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alton,AON,2.0,264.0,122.4,CROSSCOUNTRY,ANYTIME S,267.0
Altrincham,ALT,1.0,125.0,15.2,EAST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Alvechurch,ALV,1.0,161.0,41.3,WEST MIDLANDS TRAINS,ANYTIME S,287.0
Ambergate,AMB,2.0,178.0,51.2,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Amberley,AMY,2.0,305.0,209.0,VIRGIN WEST COAST,ANYTIME S,0.0
Amersham,AMR,2.0,242.0,72.55,CROSSCOUNTRY,ANYTIME S,267.0
Ammanford,AMF,1.0,302.0,88.2,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Ancaster,ANC,1.0,254.0,69.0,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Anderston,AND,2.0,217.0,132.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Andover,ADV,2.0,278.0,124.7,CROSSCOUNTRY,ANYTIME S,267.0
Anerley,ANZ,2.0,232.0,191.0,VIRGIN WEST COAST,ANYTIME S,0.0
Angel Road,AGR,2.0,195.0,167.0,VIRGIN WEST COAST,ANYTIME S,0.0
Angmering,ANG,2.0,285.0,220.5,VIRGIN WEST COAST,ANYTIME S,0.0
Annan,ANN,2.0,172.0,54.6,VIRGIN WEST COAST,ANYTIME S,317.0
Anniesland,ANL,2.0,228.0,76.3,VIRGIN WEST COAST,ANYTIME S,317.0
Ansdell & Fairhaven,AFV,1.0,113.0,19.2,NORTHERN,ANYTIME DAY S,317.0
Apperley Bridge,APY,1.0,111.0,41.7,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Appleby,APP,1.0,239.0,51.6,NORTHERN,ANYTIME DAY S,0.0
Appledore (Kent),APD,3.0,236.0,220.5,VIRGIN WEST COAST,ANYTIME S,0.0
Appleford,APF,2.0,217.0,80.95,VIRGIN WEST COAST,ANYTIME S,200.0
Appley Bridge,APB,2.0,66.0,10.4,NORTHERN,ANYTIME DAY S,327.0
Apsley,APS,1.0,190.0,62.0,VIRGIN WEST COAST,ANYTIME S,700.0
Arbroath,ARB,1.0,373.0,151.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ardgay,ARD,2.0,587.0,205.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ardlui,AUI,3.0,378.0,93.3,VIRGIN WEST COAST,ANYTIME S,317.0
Ardrossan Harbour,ADS,2.0,273.0,80.4,VIRGIN WEST COAST,ANYTIME S,317.0
Ardrossan South Beach,ASB,2.0,271.0,80.4,VIRGIN WEST COAST,ANYTIME S,317.0
Ardrossan Town,ADN,2.0,271.0,80.4,VIRGIN WEST COAST,ANYTIME S,317.0
Ardwick,ADK,1.0,79.0,15.0,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Argyle Street,AGS,2.0,228.0,132.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Arisaig,ARG,3.0,540.0,119.7,VIRGIN WEST COAST,ANYTIME S,317.0
Arlesey,ARL,2.0,228.0,186.0,VIRGIN WEST COAST,ANYTIME S,0.0
